,Unnamed: 0,letter_index,letter,frequency,identity
26,0,1,A,7.24,Suspect 1
27,1,2,B,0.01,Suspect 1
28,2,3,C,3.03,Suspect 1
29,3,4,D,4.04,Suspect 1
30,4,5,E,13.49,Suspect 1
31,5,6,F,1.97,Suspect 1
32,6,7,G,0.64,Suspect 1
33,7,8,H,3.02,Suspect 1
34,8,9,I,7.66,Suspect 1
35,9,10,J,0.01,Suspect 1
36,10,11,K,2.98,Suspect 1
37,11,12,L,4.28,Suspect 1
38,12,13,M,2.25,Suspect 1
39,13,14,N,9.28,Suspect 1
40,14,15,O,7.57,Suspect 1
41,15,16,P,8.41,Suspect 1
42,16,17,Q,0.01,Suspect 1
43,17,18,R,4.04,Suspect 1
44,18,19,S,4.53,Suspect 1
45,19,20,T,5.04,Suspect 1
46,20,21,U,2.37,Suspect 1
47,21,22,V,1.03,Suspect 1
48,22,23,W,2.32,Suspect 1
49,23,24,X,0.95,Suspect 1
50,24,25,Y,3.05,Suspect 1
51,25,26,Z,0.79,Suspect 1
